Membership No  Date Joined  Active  
    59361      2017-11-11   no    
    28125      2015-2-1     no    
    74251      2018-6-6     yes   
    17127      2020-12-12   no    
    97586      2016-5-5     no    
    81414      2017-7-14    yes   
    74392      2017-4-3     yes   
    96022      2016-3-4     no    
    52278      2017-8-14    yes   
    79662      2019-7-1     no    
    86300      2016-1-22    no    
    47969      2018-7-8     yes   
    33640      2020-10-20   yes   
    78832      2016-1-13    no    
    26643      2020-5-4     yes   
    44390      2018-5-10    no    
    40163      2019-8-6     no    
    83774      2015-10-6    yes   
    80703      2020-10-8    yes   
    25762      2015-3-8     no    
