Membership No  Date Joined  Active  
    28460      2016-6-21    no    
    49903      2018-11-10   no    
    27101      2020-3-10    yes   
    86903      2015-4-6     yes   
    44292      2018-3-24    no    
    17911      2018-2-24    no    
    37174      2017-4-10    no    
    81311      2017-8-18    yes   
    99459      2017-7-1     yes   
    54812      2019-11-22   yes   
    21989      2015-7-20    yes   
    19666      2017-11-22   yes   
    95922      2020-10-15   yes   
    44759      2016-4-21    no    
    74320      2016-8-1     no    
    27784      2015-12-16   no    
    87658      2020-9-10    yes   
    25431      2015-11-8    yes   
    86382      2020-7-15    no    
    57151      2015-10-2    no    
